    Date   Clo Balance   Open Profit        Equity
--------  ------------  ------------  ------------
04-22-1982    1000000.00          0.00    1000000.00
04-23-1982    1000000.00          0.00    1000000.00
04-26-1982    1000000.00          0.00    1000000.00
04-27-1982    1000000.00          0.00    1000000.00
04-28-1982    1000000.00          0.00    1000000.00
04-29-1982    1000000.00          0.00    1000000.00
04-30-1982    1000000.00          0.00    1000000.00
05-03-1982    1000000.00          0.00    1000000.00
05-04-1982    1000000.00          0.00    1000000.00
05-05-1982    1000000.00          0.00    1000000.00
05-06-1982    1000000.00          0.00    1000000.00
05-07-1982    1000000.00          0.00    1000000.00
05-10-1982    1000000.00          0.00    1000000.00
05-11-1982    1000000.00          0.00    1000000.00
05-12-1982    1000000.00          0.00    1000000.00
05-13-1982    1000000.00          0.00    1000000.00
05-14-1982    1000000.00          0.00    1000000.00
05-17-1982    1000000.00          0.00    1000000.00
05-18-1982    1000000.00          0.00    1000000.00
05-19-1982    1000000.00          0.00    1000000.00
05-20-1982    1000000.00          0.00    1000000.00
05-21-1982    1000000.00          0.00    1000000.00
05-24-1982    1000000.00          0.00    1000000.00
05-25-1982    1000000.00          0.00    1000000.00
05-26-1982    1000000.00          0.00    1000000.00
05-27-1982    1000000.00          0.00    1000000.00
05-28-1982    1000000.00          0.00    1000000.00
06-01-1982    1000000.00          0.00    1000000.00
06-02-1982    1000000.00          0.00    1000000.00
06-03-1982    1000000.00          0.00    1000000.00
06-04-1982    1000000.00          0.00    1000000.00
06-07-1982    1000000.00          0.00    1000000.00
06-08-1982    1000000.00          0.00    1000000.00
06-09-1982    1000000.00          0.00    1000000.00
06-10-1982    1000000.00          0.00    1000000.00
06-11-1982    1000000.00          0.00    1000000.00
06-14-1982    1000000.00          0.00    1000000.00
06-15-1982    1000000.00          0.00    1000000.00
06-16-1982    1000000.00          0.00    1000000.00
06-17-1982    1000000.00          0.00    1000000.00
06-18-1982    1000000.00          0.00    1000000.00
06-21-1982    1000000.00          0.00    1000000.00
06-22-1982    1000000.00          0.00    1000000.00
06-23-1982    1000000.00          0.00    1000000.00
06-24-1982    1000000.00          0.00    1000000.00
06-25-1982    1000000.00          0.00    1000000.00
06-28-1982    1000000.00          0.00    1000000.00
06-29-1982    1000000.00          0.00    1000000.00
06-30-1982    1000000.00          0.00    1000000.00
07-01-1982    1000000.00          0.00    1000000.00
07-02-1982    1000000.00          0.00    1000000.00
07-06-1982    1000000.00          0.00    1000000.00
07-07-1982    1000000.00          0.00    1000000.00
07-08-1982    1000000.00          0.00    1000000.00
07-09-1982    1000000.00          0.00    1000000.00
07-12-1982    1000000.00          0.00    1000000.00
07-13-1982    1000000.00          0.00    1000000.00
07-14-1982    1000000.00          0.00    1000000.00
07-15-1982    1000000.00          0.00    1000000.00
07-16-1982    1000000.00          0.00    1000000.00
07-19-1982    1000000.00          0.00    1000000.00
07-20-1982    1000000.00          0.00    1000000.00
07-21-1982    1000000.00          0.00    1000000.00
07-22-1982    1000000.00          0.00    1000000.00
07-23-1982    1000000.00          0.00    1000000.00
07-26-1982    1000000.00          0.00    1000000.00
07-27-1982    1000000.00          0.00    1000000.00
07-28-1982    1000000.00          0.00    1000000.00
07-29-1982    1000000.00          0.00    1000000.00
07-30-1982    1000000.00          0.00    1000000.00
08-02-1982    1000000.00          0.00    1000000.00
08-03-1982    1000000.00          0.00    1000000.00
08-04-1982    1000000.00          0.00    1000000.00
08-05-1982    1000000.00          0.00    1000000.00
08-06-1982    1000000.00          0.00    1000000.00
08-09-1982    1000000.00          0.00    1000000.00
08-10-1982    1000000.00          0.00    1000000.00
08-11-1982    1000000.00          0.00    1000000.00
08-12-1982    1000000.00          0.00    1000000.00
08-13-1982    1000000.00          0.00    1000000.00
08-16-1982    1000000.00          0.00    1000000.00
08-17-1982    1000000.00          0.00    1000000.00
08-18-1982    1000000.00          0.00    1000000.00
08-19-1982    1000000.00          0.00    1000000.00
08-20-1982    1000000.00          0.00    1000000.00
08-23-1982    1000000.00          0.00    1000000.00
08-24-1982    1000000.00          0.00    1000000.00
08-25-1982    1000000.00          0.00    1000000.00
08-26-1982    1000000.00          0.00    1000000.00
08-27-1982    1000000.00          0.00    1000000.00
08-30-1982    1000000.00          0.00    1000000.00
08-31-1982    1000000.00          0.00    1000000.00
09-01-1982    1000000.00     -15437.50     984562.50
09-02-1982    1000000.00       9912.50    1009912.50
09-03-1982    1000000.00      24212.50    1024212.50
09-07-1982    1000000.00      15437.50    1015437.50
09-08-1982    1000000.00      21287.50    1021287.50
09-09-1982    1000000.00      10237.50    1010237.50
09-10-1982    1000000.00       1137.50    1001137.50
09-13-1982    1000000.00      29087.50    1029087.50
09-14-1982    1000000.00      26487.50    1026487.50
09-15-1982    1000000.00      29737.50    1029737.50
09-16-1982    1000000.00      25512.50    1025512.50
09-17-1982    1000000.00      19662.50    1019662.50
09-20-1982    1000000.00      24862.50    1024862.50
09-21-1982    1000000.00      43712.50    1043712.50
09-22-1982    1000000.00      16737.50    1016737.50
09-23-1982    1000000.00      27137.50    1027137.50
09-24-1982    1000000.00      21612.50    1021612.50
09-27-1982    1000000.00      28762.50    1028762.50
09-28-1982    1000000.00      17712.50    1017712.50
09-29-1982    1000000.00       2112.50    1002112.50
09-30-1982    1000000.00      -1787.50     998212.50
10-01-1982    1000000.00       3412.50    1003412.50
10-04-1982    1000000.00       6987.50    1006987.50
10-05-1982    1000000.00       6012.50    1006012.50
10-06-1982    1000000.00      38512.50    1038512.50
10-07-1982    1000000.00      68412.50    1068412.50
10-08-1982    1000000.00      81087.50    1081087.50
10-11-1982    1000000.00     105137.50    1105137.50
10-12-1982    1000000.00      93762.50    1093762.50
10-13-1982    1000000.00     117162.50    1117162.50
10-14-1982    1000000.00      99612.50    1099612.50
10-15-1982    1000000.00     101887.50    1101887.50
10-18-1982    1000000.00     123987.50    1123987.50
10-19-1982    1000000.00     115537.50    1115537.50
10-20-1982    1000000.00     141862.50    1141862.50
10-21-1982    1000000.00     139587.50    1139587.50
10-22-1982    1000000.00     122362.50    1122362.50
10-25-1982    1000000.00      89862.50    1089862.50
10-26-1982    1000000.00     108062.50    1108062.50
10-27-1982    1000000.00     101237.50    1101237.50
10-28-1982    1000000.00      92787.50    1092787.50
10-29-1982    1000000.00      97012.50    1097012.50
11-01-1982    1000000.00     115862.50    1115862.50
11-02-1982    1000000.00     124962.50    1124962.50
11-03-1982    1000000.00     157462.50    1157462.50
11-04-1982    1000000.00     158762.50    1158762.50
11-05-1982    1000000.00     153237.50    1153237.50
11-08-1982    1000000.00     146737.50    1146737.50
11-09-1982    1000000.00     170137.50    1170137.50
11-10-1982    1000000.00     143487.50    1143487.50
11-11-1982    1000000.00     159412.50    1159412.50
11-12-1982    1000000.00     137637.50    1137637.50
11-15-1982    1000000.00     112287.50    1112287.50
11-16-1982    1000000.00     110987.50    1110987.50
11-17-1982    1000000.00     123987.50    1123987.50
11-18-1982    1000000.00     127237.50    1127237.50
11-19-1982    1000000.00     107737.50    1107737.50
11-22-1982    1000000.00      84987.50    1084987.50
11-23-1982    1000000.00      84012.50    1084012.50
11-24-1982    1000000.00      92137.50    1092137.50
11-26-1982    1000000.00      99612.50    1099612.50
11-29-1982    1000000.00      91162.50    1091162.50
11-30-1982    1000000.00     123662.50    1123662.50
12-01-1982    1000000.00     120087.50    1120087.50
12-02-1982    1000000.00     124962.50    1124962.50
12-03-1982    1000000.00     126912.50    1126912.50
12-06-1982    1000000.00     154212.50    1154212.50
12-07-1982    1000000.00     156812.50    1156812.50
12-08-1982    1000000.00     141212.50    1141212.50
12-09-1982    1000000.00     130487.50    1130487.50
12-10-1982    1000000.00     125612.50    1125612.50
12-13-1982    1000000.00     136662.50    1136662.50
12-14-1982    1000000.00     106112.50    1106112.50
12-15-1982    1000000.00     102862.50    1102862.50
12-16-1982    1000000.00     102212.50    1102212.50
12-17-1982    1000000.00     119112.50    1119112.50
12-20-1982    1000000.00     108062.50    1108062.50
12-21-1982    1000000.00     134062.50    1134062.50
12-22-1982    1000000.00     128212.50    1128212.50
12-23-1982    1000000.00     133412.50    1133412.50
12-27-1982    1000000.00     159087.50    1159087.50
12-28-1982    1000000.00     143162.50    1143162.50
12-29-1982    1000000.00     148037.50    1148037.50
12-30-1982    1000000.00     136012.50    1136012.50
12-31-1982    1000000.00     140237.50    1140237.50
01-03-1983    1000000.00     122037.50    1122037.50
01-04-1983    1000000.00     144787.50    1144787.50
01-05-1983    1000000.00     147387.50    1147387.50
01-06-1983    1000000.00     173712.50    1173712.50
01-07-1983    1000000.00     174037.50    1174037.50
01-10-1983    1000000.00     185087.50    1185087.50
01-11-1983    1000000.00     179887.50    1179887.50
01-12-1983    1000000.00     180212.50    1180212.50
01-13-1983    1000000.00     181187.50    1181187.50
01-14-1983    1000000.00     181187.50    1181187.50
